Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Jacob Evans III (11533112),Jacob Evans III,11533112,SG/SF/F/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,GS,3.5
PG,Tyler Ulis (11533117),Tyler Ulis,11533117,PG/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,CHI,0
SG/SF,Rawle Alkins (11533120),Rawle Alkins,11533120,SG/SF/F/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,CHI,0
PG,Shaquille Harrison (11533125),Shaquille Harrison,11533125,PG/G/UTIL,3000,GS@CHI 10/29/2018 08:00PM ET,CHI,11.5
PF/C,Chris Boucher (11533128),Chris Boucher,11533128,PF/C/F/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,TOR,0
SG,Malachi Richardson (11533132),Malachi Richardson,11533132,SG/G/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,TOR,2.88
PG/SG,Jordan Loyd (11533135),Jordan Loyd,11533135,PG/SG/G/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,TOR,0
PF/C,Thon Maker (11533139),Thon Maker,11533139,PF/C/F/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,MIL,10.62
SG,Jaylen Morris (11533143),Jaylen Morris,11533143,SG/G/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,MIL,0
PG,Trevon Duval (11533146),Trevon Duval,11533146,PG/G/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,MIL,0
SG/SF,Sterling Brown (11533149),Sterling Brown,11533149,SG/SF/F/G/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,MIL,4.67
PF/C,D.J. Wilson (11533154),D.J. Wilson,11533154,PF/C/F/UTIL,3000,TOR@MIL 10/29/2018 08:00PM ET,MIL,0
