Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
92,1231110192,bel575,0,167.76,QB Cam Newton RB Todd Gurley II FLEX Tarik Cohen RB Nick Chubb WR Adam Thielen WR Josh Gordon WR Jermaine Kearse TE David Njoku DST Texans ,,Greg Olsen,TE,0.62%,8.5
94,1223403093,ricosauve3,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Benjamin Watson,TE,0.57%,16.3
94,1223416408,Font915,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Marvin Jones Jr.,WR,0.57%,5.9
94,1223586441,dewayne202,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Marlon Mack,RB,0.57%,34.9
94,1224067964,Dndeals15,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Cameron Brate,TE,0.48%,4.3
94,1224123228,FMW50,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,David Grinnage,TE,0.48%,3.7
94,1227443404,Crooksie27,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Saints ,DST,0.44%,1
94,1228057856,ljhenry2222,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Kelvin Benjamin,WR,0.44%,11.1
94,1228968402,danielgordon147,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Chris Hogan,WR,0.44%,12.3
94,1229799409,Dsmack1111,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Mark Ingram,RB,0.44%,6.2
94,1229957144,Mciampa98,0,167.7,QB Baker Mayfield FLEX Todd Gurley II RB Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Cameron Meredith,WR,0.40%,0
94,1230088548,bobo1977,0,167.7,QB Baker Mayfield RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Colts ,,Derek Anderson,QB,0.40%,3
